Sample,AgeID,ObjID,Actual Full ID,Morphotype_Name
ANT22.043.1,32.8256,obj00002,ANT22-043-12H-4W-107-110cm_obj00002,Acrodin Tip Triangle Root Small Cone
ANT22.044.1,32.9556,obj00001,ANT22-044-12H-5W-12-17cm_obj00001,Acrodin Tip Funnel 3/4 Root Flat
ANT22.044.1,32.9556,obj00002,ANT22-044-12H-5W-12-17cm_obj00002,Acrodin Tip Funnel 3/4 Root
ANT23.045.1,33.0668,obj00003,ANT23-045-12H-5W-60-63cm_obj00003,Acrodin Tip Standard Root Small Cone
ANT23.045.1,33.0668,obj00004,ANT23-045-12H-5W-60-63cm_obj00004,Acrodin Tip Standard Root Small Cone
ANT23.045.1,33.0668,obj00005,ANT23-045-12H-5W-60-63cm_obj00005,Round Acrodin Tip Small Tooth Flared Blades Large Triangle Root
ANT23.046.1,33.17569,obj00004,ANT23-046-12H-5W-107-112cm_obj00004,Acrodin Tip Small Cone No Blades Dome Root
ANT24.047.1,33.30079,obj00008,ANT24-047-12H-6W-11-14cm_obj00008,Acrodin Tip Long Dark Root
ANT24.047.1,33.30079,obj00010,ANT24-047-12H-6W-11-14cm_obj00010,Acrodin Tip Concave 1/2 Root Thick Blades
ANT24.048.1,33.41431,obj00007,ANT24-048-12H-6W-60-63cm_obj00007,Acrodin Tip Long Dark Root
ANT24.048.1,33.41431,obj00009,ANT24-048-12H-6W-60-63cm_obj00009,Acrodin Tip Standard Slight Curve
ANT25.049.1,33.52319,obj00002,ANT25-049-12H-6W-107-110cm_obj00002,Round Acrodin Tip Small Tooth Long Dummy Root
ANT25.049.1,33.52319,obj00008,ANT25-049-12H-6W-107-110cm_obj00008,Acrodin Tip Long Dark Root
ANT25.050.1,33.64598,obj00002,ANT25-050-12H-7W-10-13cm_obj00002,Acrodin Tip Long Dark Root
ANT26.052.1,33.90081,obj00002,ANT26-052-13H-1W-60-63cm_obj00002,Patrick Sans Arms Tooth Straight
ANT27.053.1,34.00738,obj00002,ANT27-053-13H-1W-106-110cm_obj00002,Acrodin Tip Long Dark Root
ANT27.053.1,34.00738,obj00003,ANT27-053-13H-1W-106-110cm_obj00003,Patrick Sans Arms Tooth Straight
ANT27.053.1,34.00738,obj00005,ANT27-053-13H-1W-106-110cm_obj00005,Acrodin Tip Small Cone No Blades Dome Root
ANT27.054.1,34.12785,obj00001,ANT27-054-13H-2W-8-12cm_obj00001,Acrodin Tip Long Dark Root
ANT28.056.1,34.36183,obj00001,ANT28-056-13H-2W-109-114cm_obj00001,Acrodin Tip Long Dark Root
ANT28.056.1,34.36183,obj00002,ANT28-056-13H-2W-109-114cm_obj00002,Acrodin Tip Dome 1/2 Root
